행정동_코드,지역명,2023,2024,2025,3년_증감
11740580,강동구 암사2동,3,5,4,1
11740590,강동구 암사3동,0,0,0,0
11740600,강동구 천호1동,3,4,3,0
11740610,강동구 천호2동,15,14,13,-2
11740620,강동구 천호3동,5,6,6,1
11740640,강동구 성내1동,5,4,5,0
11740650,강동구 성내2동,2,4,4,2
11740660,강동구 성내3동,5,5,5,0
11740685,강동구 길동,15,14,11,-4
11740690,강동구 둔촌1동,1,1,1,0
11740700,강동구 둔촌2동,7,7,5,-2
